gene_symbol,ensembl_id,sample_name,tissue,condition_name,expression_value,expression_unit,source_database
TLR4,ENSG00000136869,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.8,TPM,Human Protein Atlas
TLR4,ENSG00000136869,total PBMC,total PBMC,normal immune cell,9.7,TPM,Human Protein Atlas
CD14,ENSG00000170458,MAIT T-cell,MAIT T-cell,normal immune cell,7.4,TPM,Human Protein Atlas
CD14,ENSG00000170458,NK-cell,NK-cell,normal immune cell,3.8,TPM,Human Protein Atlas
CD14,ENSG00000170458,T-reg,T-reg,normal immune cell,2.8,TPM,Human Protein Atlas
CD14,ENSG00000170458,basophil,basophil,normal immune cell,7.5,TPM,Human Protein Atlas
CD14,ENSG00000170458,classical monocyte,classical monocyte,normal immune cell,2598.2,TPM,Human Protein Atlas
CD14,ENSG00000170458,eosinophil,eosinophil,normal immune cell,15.2,TPM,Human Protein Atlas
CD14,ENSG00000170458,gdT-cell,gdT-cell,normal immune cell,6.1,TPM,Human Protein Atlas
CD14,ENSG00000170458,intermediate monocyte,intermediate monocyte,normal immune cell,509.1,TPM,Human Protein Atlas
CD14,ENSG00000170458,memory B-cell,memory B-cell,normal immune cell,5.7,TPM,Human Protein Atlas
CD14,ENSG00000170458,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,3.1,TPM,Human Protein Atlas
CD14,ENSG00000170458,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,3.4,TPM,Human Protein Atlas
CD14,ENSG00000170458,myeloid DC,myeloid DC,normal immune cell,338.4,TPM,Human Protein Atlas
CD14,ENSG00000170458,naive B-cell,naive B-cell,normal immune cell,1.3,TPM,Human Protein Atlas
CD14,ENSG00000170458,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,4.3,TPM,Human Protein Atlas
CD14,ENSG00000170458,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,2.7,TPM,Human Protein Atlas
CD14,ENSG00000170458,neutrophil,neutrophil,normal immune cell,585.0,TPM,Human Protein Atlas
CD14,ENSG00000170458,non-classical monocyte,non-classical monocyte,normal immune cell,72.8,TPM,Human Protein Atlas
CD14,ENSG00000170458,plasmacytoid DC,plasmacytoid DC,normal immune cell,21.9,TPM,Human Protein Atlas
CD14,ENSG00000170458,total PBMC,total PBMC,normal immune cell,1005.0,TPM,Human Protein Atlas
MYD88,ENSG00000172936,MAIT T-cell,MAIT T-cell,normal immune cell,57.2,TPM,Human Protein Atlas
MYD88,ENSG00000172936,NK-cell,NK-cell,normal immune cell,56.8,TPM,Human Protein Atlas
MYD88,ENSG00000172936,T-reg,T-reg,normal immune cell,75.3,TPM,Human Protein Atlas
MYD88,ENSG00000172936,basophil,basophil,normal immune cell,216.0,TPM,Human Protein Atlas
MYD88,ENSG00000172936,classical monocyte,classical monocyte,normal immune cell,175.8,TPM,Human Protein Atlas
MYD88,ENSG00000172936,eosinophil,eosinophil,normal immune cell,241.3,TPM,Human Protein Atlas
MYD88,ENSG00000172936,gdT-cell,gdT-cell,normal immune cell,72.1,TPM,Human Protein Atlas
MYD88,ENSG00000172936,intermediate monocyte,intermediate monocyte,normal immune cell,269.1,TPM,Human Protein Atlas
MYD88,ENSG00000172936,memory B-cell,memory B-cell,normal immune cell,30.7,TPM,Human Protein Atlas
MYD88,ENSG00000172936,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,56.5,TPM,Human Protein Atlas
MYD88,ENSG00000172936,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,68.9,TPM,Human Protein Atlas
MYD88,ENSG00000172936,myeloid DC,myeloid DC,normal immune cell,174.4,TPM,Human Protein Atlas
MYD88,ENSG00000172936,naive B-cell,naive B-cell,normal immune cell,28.3,TPM,Human Protein Atlas
MYD88,ENSG00000172936,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,38.0,TPM,Human Protein Atlas
MYD88,ENSG00000172936,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,56.6,TPM,Human Protein Atlas
MYD88,ENSG00000172936,neutrophil,neutrophil,normal immune cell,183.2,TPM,Human Protein Atlas
MYD88,ENSG00000172936,non-classical monocyte,non-classical monocyte,normal immune cell,352.9,TPM,Human Protein Atlas
MYD88,ENSG00000172936,plasmacytoid DC,plasmacytoid DC,normal immune cell,92.0,TPM,Human Protein Atlas
MYD88,ENSG00000172936,total PBMC,total PBMC,normal immune cell,93.5,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,MAIT T-cell,MAIT T-cell,normal immune cell,0.7,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,NK-cell,NK-cell,normal immune cell,1.6,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,T-reg,T-reg,normal immune cell,0.2,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,basophil,basophil,normal immune cell,0.0,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,classical monocyte,classical monocyte,normal immune cell,0.7,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,eosinophil,eosinophil,normal immune cell,0.9,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,gdT-cell,gdT-cell,normal immune cell,0.5,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,intermediate monocyte,intermediate monocyte,normal immune cell,1.4,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,memory B-cell,memory B-cell,normal immune cell,0.4,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,1.4,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.9,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,myeloid DC,myeloid DC,normal immune cell,2.1,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,naive B-cell,naive B-cell,normal immune cell,0.4,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,2.0,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.9,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,neutrophil,neutrophil,normal immune cell,0.4,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,non-classical monocyte,non-classical monocyte,normal immune cell,1.8,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.3,TPM,Human Protein Atlas
NFKB1,ENSG00000109320,total PBMC,total PBMC,normal immune cell,0.3,TPM,Human Protein Atlas
RELA,ENSG00000173039,MAIT T-cell,MAIT T-cell,normal immune cell,25.4,TPM,Human Protein Atlas
RELA,ENSG00000173039,NK-cell,NK-cell,normal immune cell,27.9,TPM,Human Protein Atlas
RELA,ENSG00000173039,T-reg,T-reg,normal immune cell,18.5,TPM,Human Protein Atlas
RELA,ENSG00000173039,basophil,basophil,normal immune cell,11.5,TPM,Human Protein Atlas
RELA,ENSG00000173039,classical monocyte,classical monocyte,normal immune cell,10.6,TPM,Human Protein Atlas
RELA,ENSG00000173039,eosinophil,eosinophil,normal immune cell,14.9,TPM,Human Protein Atlas
RELA,ENSG00000173039,gdT-cell,gdT-cell,normal immune cell,24.3,TPM,Human Protein Atlas
RELA,ENSG00000173039,intermediate monocyte,intermediate monocyte,normal immune cell,14.0,TPM,Human Protein Atlas
RELA,ENSG00000173039,memory B-cell,memory B-cell,normal immune cell,11.7,TPM,Human Protein Atlas
RELA,ENSG00000173039,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,18.3,TPM,Human Protein Atlas
RELA,ENSG00000173039,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,22.2,TPM,Human Protein Atlas
RELA,ENSG00000173039,myeloid DC,myeloid DC,normal immune cell,13.1,TPM,Human Protein Atlas
RELA,ENSG00000173039,naive B-cell,naive B-cell,normal immune cell,11.8,TPM,Human Protein Atlas
RELA,ENSG00000173039,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,16.6,TPM,Human Protein Atlas
RELA,ENSG00000173039,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,18.7,TPM,Human Protein Atlas
RELA,ENSG00000173039,neutrophil,neutrophil,normal immune cell,13.5,TPM,Human Protein Atlas
RELA,ENSG00000173039,non-classical monocyte,non-classical monocyte,normal immune cell,12.9,TPM,Human Protein Atlas
RELA,ENSG00000173039,plasmacytoid DC,plasmacytoid DC,normal immune cell,14.1,TPM,Human Protein Atlas
RELA,ENSG00000173039,total PBMC,total PBMC,normal immune cell,6.8,TPM,Human Protein Atlas
STAT1,ENSG00000115415,MAIT T-cell,MAIT T-cell,normal immune cell,71.6,TPM,Human Protein Atlas
STAT1,ENSG00000115415,NK-cell,NK-cell,normal immune cell,87.9,TPM,Human Protein Atlas
STAT1,ENSG00000115415,T-reg,T-reg,normal immune cell,196.6,TPM,Human Protein Atlas
STAT1,ENSG00000115415,basophil,basophil,normal immune cell,43.0,TPM,Human Protein Atlas
STAT1,ENSG00000115415,classical monocyte,classical monocyte,normal immune cell,114.0,TPM,Human Protein Atlas
STAT1,ENSG00000115415,eosinophil,eosinophil,normal immune cell,87.2,TPM,Human Protein Atlas
STAT1,ENSG00000115415,gdT-cell,gdT-cell,normal immune cell,56.0,TPM,Human Protein Atlas
